lst,sur_refl,ndvi,month,fire
311.49,0.1481,0.236,12,0
301.73,0.1821,0.3952,7,0
298.12,0.1616,0.0701,7,0
289.96,0.14665,0.2964,8,0
295.78,0.14185,0.0145,1,0
301.34,0.0851,0.094,6,0
295.95,0.1702,0.104,11,0
298.82,0.2781333333333333,0.505,12,0
316.0,0.1074,0.2724,1,1
303.24,0.2153499999999999,0.4371,8,1
333.08,0.429,0.3549,10,0
296.74,0.1285,0.1155,1,0
286.92,0.1459,0.3496,12,0
294.2,0.2808,0.4121,9,0
302.44,0.2345,0.4396,10,0
330.3,0.3492,0.5857,9,1
303.92,0.2274,0.5081,5,0
291.78,0.1891666666666666,0.2065,12,0
306.7,0.27175,0.0353,7,1
318.24,0.22475,0.3378,7,0
298.05,0.3719,0.1539,9,0
330.84,0.36905,0.5522,7,0
303.6,0.2072999999999999,0.617,2,0
296.0,0.2499,0.1349,3,0
298.94,0.123,0.4075,3,0
301.34000000000003,0.2227,0.4974,7,0
297.5,0.2916499999999999,0.6649,2,0
298.04,0.14535,0.1639,3,0
314.82,0.3591,0.6519,12,1
298.1,0.24885,0.5518,6,0
320.91,0.0847499999999999,0.1196,8,1
298.42,0.247,0.5094,6,0
298.1,0.4064,0.1307,5,0
299.92,0.34945,0.3179,4,0
294.78,0.2618,0.3743,4,0
294.15,0.38195,0.1257,2,1
301.97,0.15455,0.2408,9,0
301.73,0.2316,0.6849,3,0
295.11,0.20405,0.318,11,0
316.58,0.2682666666666666,0.0076,12,0
300.07,0.1615,0.1349,2,0
296.04,0.208,0.2976,12,0
332.98,0.348,0.405,9,1
292.47,0.1679,0.1961,2,0
299.22,0.1662,0.1056,4,0
316.52,0.2882,-0.0126,11,0
303.08,0.28195,0.2514,8,0
337.09000000000003,0.2203,0.5106,9,0
299.78,0.2444,0.5613,5,0
320.91,0.2058499999999999,-0.0816,8,1
308.81,0.3601499999999999,-0.0186,6,0
313.08,0.1167,0.289,6,1
301.54,0.0754499999999999,0.0856,7,0
332.54,0.5098,0.1611,2,0
300.0,0.2622,0.7664,2,1
303.93,0.21025,0.7046,7,0
351.36,0.37595,0.3076,11,1
300.36,0.1021,0.0736,10,0
299.26,0.17295,0.1283,4,0
300.92,0.26965,0.594,5,0
326.13,0.2028499999999999,0.0851,9,0
296.06,0.1031,0.0548,3,0
301.15,0.0938,0.4164,8,0
291.12,0.3681,0.5838,8,0
305.56,0.3296,0.0185,5,0
320.16,0.2663,0.4499,1,0
302.45000000000005,0.32855,0.2914,12,0
299.18,0.1084499999999999,0.4075,3,0
295.58000000000004,0.1826499999999999,0.1157,5,0
294.38,0.3719,0.0192,9,0
333.08,0.49025,0.1623,8,0
305.92,0.1366,0.3488,2,0
300.56,0.50715,0.0673,11,0
289.08,0.2543666666666667,0.1627,12,0
310.5,0.48295,0.4126,4,0
303.62,0.26695,0.08,5,0
299.26,0.17295,0.1283,4,0
304.86,0.387,0.6225,4,0
300.56,0.48805,0.0745,11,0
286.54,0.2126,0.2495,1,0
306.51,0.20105,0.3755,7,0
301.42,0.1936999999999999,0.1409,3,0
303.6,0.1818,0.1873,6,0
330.3,0.3492,0.5857,9,0
336.04999999999995,0.19945,0.2914,2,1
323.72,0.2967333333333333,0.0123,12,0
327.96,0.34775,0.3988,3,0
309.52,0.38865,0.0679,2,1
304.52,0.2882,0.2518,7,0
304.71000000000004,0.2271,0.1257,2,0
326.09000000000003,0.2549,0.2619,5,0
297.94666666666666,0.3923333333333333,0.1089,12,0
300.58,0.1767,0.2117,2,0
328.14,0.2077,0.0215,8,0
291.26,0.23455,0.4388,5,0
310.5,0.18625,0.1383,4,0
298.68,0.1612,0.2158,9,0
303.1,0.63025,0.1251,5,0
330.84,0.36905,0.5522,7,0
307.61,0.1692,0.1544,7,0
